,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.07291049199762893,0.02144469525959368,0.0,0.4319620253164557,0.4296998420221169,0.0016602102933038186,0.0,0.005555555555555556
1,0.12352941176470589,0.2794258373205742,0.07389558232931727,0.004507888805409466,0.0,0.0,0.0,0.17280701754385966,0.0,0.04453125
2,0.0,0.0,0.0399002493765586,0.0036101083032490976,0.0,0.0,0.0,0.39932885906040266,0.0,0.018315018315018316
3,0.0,0.0,0.0018148820326678765,0.00821917808219178,0.0,0.0,0.0,0.0,0.978494623655914,0.0009066183136899365
4,0.4453125,0.17620345140781107,0.052845528455284556,0.0335195530726257,0.0,0.0,0.0015467904098994587,0.03105095541401274,0.0,0.006216006216006216
5,0.0,0.0,0.004026845637583893,0.2986111111111111,0.0,0.0,0.0,0.014925373134328358,0.0,0.02185792349726776
6,0.0,0.0,0.16751918158567775,0.012195121951219513,0.0,0.0,0.0,0.005506607929515419,0.0,0.31746031746031744
7,0.0,0.046620046620046623,0.012781954887218045,0.1434634974533107,0.6816479400749064,0.0,0.0,0.0,0.0,0.006726457399103139
8,0.0,0.0,0.08438818565400844,0.14222222222222222,0.0,0.0,0.0,0.06934812760055478,0.0,0.02526595744680851
9,0.0,0.0,0.02837837837837838,0.0,0.0,0.0,0.0,0.00395778364116095,0.0,0.3350877192982456
